absolute path,relative path,class
D:\Projects\Python\python\Lab4\dataset\tiger\0000.jpg,..\python\Lab4\dataset\tiger\0000.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0001.jpg,..\python\Lab4\dataset\tiger\0001.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0002.jpg,..\python\Lab4\dataset\tiger\0002.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0003.jpg,..\python\Lab4\dataset\tiger\0003.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0004.jpg,..\python\Lab4\dataset\tiger\0004.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0005.jpg,..\python\Lab4\dataset\tiger\0005.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0006.jpg,..\python\Lab4\dataset\tiger\0006.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0007.jpg,..\python\Lab4\dataset\tiger\0007.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0008.jpg,..\python\Lab4\dataset\tiger\0008.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0009.jpg,..\python\Lab4\dataset\tiger\0009.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0010.jpg,..\python\Lab4\dataset\tiger\0010.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0011.jpg,..\python\Lab4\dataset\tiger\0011.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0012.jpg,..\python\Lab4\dataset\tiger\0012.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0013.jpg,..\python\Lab4\dataset\tiger\0013.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0014.jpg,..\python\Lab4\dataset\tiger\0014.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0015.jpg,..\python\Lab4\dataset\tiger\0015.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0016.jpg,..\python\Lab4\dataset\tiger\0016.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0017.jpg,..\python\Lab4\dataset\tiger\0017.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0018.jpg,..\python\Lab4\dataset\tiger\0018.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0019.jpg,..\python\Lab4\dataset\tiger\0019.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0020.jpg,..\python\Lab4\dataset\tiger\0020.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0021.jpg,..\python\Lab4\dataset\tiger\0021.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0022.jpg,..\python\Lab4\dataset\tiger\0022.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0023.jpg,..\python\Lab4\dataset\tiger\0023.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0024.jpg,..\python\Lab4\dataset\tiger\0024.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0025.jpg,..\python\Lab4\dataset\tiger\0025.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0026.jpg,..\python\Lab4\dataset\tiger\0026.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0027.jpg,..\python\Lab4\dataset\tiger\0027.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0028.jpg,..\python\Lab4\dataset\tiger\0028.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0029.jpg,..\python\Lab4\dataset\tiger\0029.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0030.jpg,..\python\Lab4\dataset\tiger\0030.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0031.jpg,..\python\Lab4\dataset\tiger\0031.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0032.jpg,..\python\Lab4\dataset\tiger\0032.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0033.jpg,..\python\Lab4\dataset\tiger\0033.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0034.jpg,..\python\Lab4\dataset\tiger\0034.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0035.jpg,..\python\Lab4\dataset\tiger\0035.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0036.jpg,..\python\Lab4\dataset\tiger\0036.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0037.jpg,..\python\Lab4\dataset\tiger\0037.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0038.jpg,..\python\Lab4\dataset\tiger\0038.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0039.jpg,..\python\Lab4\dataset\tiger\0039.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0040.jpg,..\python\Lab4\dataset\tiger\0040.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0041.jpg,..\python\Lab4\dataset\tiger\0041.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0042.jpg,..\python\Lab4\dataset\tiger\0042.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0043.jpg,..\python\Lab4\dataset\tiger\0043.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0044.jpg,..\python\Lab4\dataset\tiger\0044.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0045.jpg,..\python\Lab4\dataset\tiger\0045.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0046.jpg,..\python\Lab4\dataset\tiger\0046.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0047.jpg,..\python\Lab4\dataset\tiger\0047.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0048.jpg,..\python\Lab4\dataset\tiger\0048.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0049.jpg,..\python\Lab4\dataset\tiger\0049.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0050.jpg,..\python\Lab4\dataset\tiger\0050.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0051.jpg,..\python\Lab4\dataset\tiger\0051.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0052.jpg,..\python\Lab4\dataset\tiger\0052.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0053.jpg,..\python\Lab4\dataset\tiger\0053.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0054.jpg,..\python\Lab4\dataset\tiger\0054.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0055.jpg,..\python\Lab4\dataset\tiger\0055.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0056.jpg,..\python\Lab4\dataset\tiger\0056.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0057.jpg,..\python\Lab4\dataset\tiger\0057.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0058.jpg,..\python\Lab4\dataset\tiger\0058.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0059.jpg,..\python\Lab4\dataset\tiger\0059.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0060.jpg,..\python\Lab4\dataset\tiger\0060.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0061.jpg,..\python\Lab4\dataset\tiger\0061.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0062.jpg,..\python\Lab4\dataset\tiger\0062.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0063.jpg,..\python\Lab4\dataset\tiger\0063.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0064.jpg,..\python\Lab4\dataset\tiger\0064.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0065.jpg,..\python\Lab4\dataset\tiger\0065.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0066.jpg,..\python\Lab4\dataset\tiger\0066.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0067.jpg,..\python\Lab4\dataset\tiger\0067.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0068.jpg,..\python\Lab4\dataset\tiger\0068.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0069.jpg,..\python\Lab4\dataset\tiger\0069.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0070.jpg,..\python\Lab4\dataset\tiger\0070.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0071.jpg,..\python\Lab4\dataset\tiger\0071.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0072.jpg,..\python\Lab4\dataset\tiger\0072.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0073.jpg,..\python\Lab4\dataset\tiger\0073.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0074.jpg,..\python\Lab4\dataset\tiger\0074.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0075.jpg,..\python\Lab4\dataset\tiger\0075.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0076.jpg,..\python\Lab4\dataset\tiger\0076.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0077.jpg,..\python\Lab4\dataset\tiger\0077.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0078.jpg,..\python\Lab4\dataset\tiger\0078.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0079.jpg,..\python\Lab4\dataset\tiger\0079.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0080.jpg,..\python\Lab4\dataset\tiger\0080.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0081.jpg,..\python\Lab4\dataset\tiger\0081.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0082.jpg,..\python\Lab4\dataset\tiger\0082.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0083.jpg,..\python\Lab4\dataset\tiger\0083.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0084.jpg,..\python\Lab4\dataset\tiger\0084.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0085.jpg,..\python\Lab4\dataset\tiger\0085.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0086.jpg,..\python\Lab4\dataset\tiger\0086.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0087.jpg,..\python\Lab4\dataset\tiger\0087.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0088.jpg,..\python\Lab4\dataset\tiger\0088.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0089.jpg,..\python\Lab4\dataset\tiger\0089.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0090.jpg,..\python\Lab4\dataset\tiger\0090.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0091.jpg,..\python\Lab4\dataset\tiger\0091.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0092.jpg,..\python\Lab4\dataset\tiger\0092.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0093.jpg,..\python\Lab4\dataset\tiger\0093.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0094.jpg,..\python\Lab4\dataset\tiger\0094.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0095.jpg,..\python\Lab4\dataset\tiger\0095.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0096.jpg,..\python\Lab4\dataset\tiger\0096.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0097.jpg,..\python\Lab4\dataset\tiger\0097.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0098.jpg,..\python\Lab4\dataset\tiger\0098.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0099.jpg,..\python\Lab4\dataset\tiger\0099.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0100.jpg,..\python\Lab4\dataset\tiger\0100.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0101.jpg,..\python\Lab4\dataset\tiger\0101.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0102.jpg,..\python\Lab4\dataset\tiger\0102.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0103.jpg,..\python\Lab4\dataset\tiger\0103.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0104.jpg,..\python\Lab4\dataset\tiger\0104.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0105.jpg,..\python\Lab4\dataset\tiger\0105.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0106.jpg,..\python\Lab4\dataset\tiger\0106.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0107.jpg,..\python\Lab4\dataset\tiger\0107.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0108.jpg,..\python\Lab4\dataset\tiger\0108.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0109.jpg,..\python\Lab4\dataset\tiger\0109.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0110.jpg,..\python\Lab4\dataset\tiger\0110.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0111.jpg,..\python\Lab4\dataset\tiger\0111.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0112.jpg,..\python\Lab4\dataset\tiger\0112.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0113.jpg,..\python\Lab4\dataset\tiger\0113.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0114.jpg,..\python\Lab4\dataset\tiger\0114.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0115.jpg,..\python\Lab4\dataset\tiger\0115.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0116.jpg,..\python\Lab4\dataset\tiger\0116.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0117.jpg,..\python\Lab4\dataset\tiger\0117.jpg,tiger
D:\Projects\Python\python\Lab4\dataset\tiger\0118.jpg,..\python\Lab4\dataset\tiger\0118.jpg,tiger
