,absolute_path,class_mark,numerical_class_mark,width,height,channels
0,D:\Projects\Python\python\Lab4\dataset\tiger\0000.jpg,tiger,0,480,320,3
1,D:\Projects\Python\python\Lab4\dataset\tiger\0001.jpg,tiger,0,480,300,3
2,D:\Projects\Python\python\Lab4\dataset\tiger\0002.jpg,tiger,0,480,319,3
3,D:\Projects\Python\python\Lab4\dataset\tiger\0003.jpg,tiger,0,480,300,3
4,D:\Projects\Python\python\Lab4\dataset\tiger\0004.jpg,tiger,0,480,319,3
5,D:\Projects\Python\python\Lab4\dataset\tiger\0005.jpg,tiger,0,480,320,3
6,D:\Projects\Python\python\Lab4\dataset\tiger\0006.jpg,tiger,0,320,320,3
7,D:\Projects\Python\python\Lab4\dataset\tiger\0007.jpg,tiger,0,480,270,3
8,D:\Projects\Python\python\Lab4\dataset\tiger\0008.jpg,tiger,0,480,300,3
9,D:\Projects\Python\python\Lab4\dataset\tiger\0009.jpg,tiger,0,480,300,3
10,D:\Projects\Python\python\Lab4\dataset\tiger\0010.jpg,tiger,0,480,320,3
11,D:\Projects\Python\python\Lab4\dataset\tiger\0011.jpg,tiger,0,480,270,3
12,D:\Projects\Python\python\Lab4\dataset\tiger\0012.jpg,tiger,0,427,320,3
13,D:\Projects\Python\python\Lab4\dataset\tiger\0013.jpg,tiger,0,480,320,3
14,D:\Projects\Python\python\Lab4\dataset\tiger\0014.jpg,tiger,0,480,270,3
15,D:\Projects\Python\python\Lab4\dataset\tiger\0015.jpg,tiger,0,480,300,3
16,D:\Projects\Python\python\Lab4\dataset\tiger\0016.jpg,tiger,0,480,319,3
17,D:\Projects\Python\python\Lab4\dataset\tiger\0017.jpg,tiger,0,480,319,3
18,D:\Projects\Python\python\Lab4\dataset\tiger\0018.jpg,tiger,0,480,320,3
19,D:\Projects\Python\python\Lab4\dataset\tiger\0019.jpg,tiger,0,480,320,3
20,D:\Projects\Python\python\Lab4\dataset\tiger\0020.jpg,tiger,0,480,320,3
21,D:\Projects\Python\python\Lab4\dataset\tiger\0021.jpg,tiger,0,427,320,3
22,D:\Projects\Python\python\Lab4\dataset\tiger\0022.jpg,tiger,0,480,320,3
23,D:\Projects\Python\python\Lab4\dataset\tiger\0023.jpg,tiger,0,480,320,3
24,D:\Projects\Python\python\Lab4\dataset\tiger\0024.jpg,tiger,0,480,300,3
25,D:\Projects\Python\python\Lab4\dataset\tiger\0025.jpg,tiger,0,480,320,3
26,D:\Projects\Python\python\Lab4\dataset\tiger\0026.jpg,tiger,0,480,320,3
27,D:\Projects\Python\python\Lab4\dataset\tiger\0027.jpg,tiger,0,427,320,3
28,D:\Projects\Python\python\Lab4\dataset\tiger\0028.jpg,tiger,0,480,320,3
29,D:\Projects\Python\python\Lab4\dataset\tiger\0029.jpg,tiger,0,480,320,3
30,D:\Projects\Python\python\Lab4\dataset\tiger\0030.jpg,tiger,0,480,320,3
31,D:\Projects\Python\python\Lab4\dataset\tiger\0031.jpg,tiger,0,480,320,3
32,D:\Projects\Python\python\Lab4\dataset\tiger\0032.jpg,tiger,0,480,300,3
33,D:\Projects\Python\python\Lab4\dataset\tiger\0033.jpg,tiger,0,480,270,3
34,D:\Projects\Python\python\Lab4\dataset\tiger\0034.jpg,tiger,0,427,320,3
35,D:\Projects\Python\python\Lab4\dataset\tiger\0035.jpg,tiger,0,480,300,3
36,D:\Projects\Python\python\Lab4\dataset\tiger\0036.jpg,tiger,0,480,270,3
37,D:\Projects\Python\python\Lab4\dataset\tiger\0037.jpg,tiger,0,480,308,3
38,D:\Projects\Python\python\Lab4\dataset\tiger\0038.jpg,tiger,0,480,300,3
39,D:\Projects\Python\python\Lab4\dataset\tiger\0039.jpg,tiger,0,480,320,3
40,D:\Projects\Python\python\Lab4\dataset\tiger\0040.jpg,tiger,0,256,320,3
